Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,Longitude,Depth_m,Deploy_Date,Recovery_Date,Status
CINMS13-B,25-102506,581,2.02Q,34-16.968 N,120-01.684 W,549,6/25/2010,10/8/2010,R
CINMS13-C,30,580,2.02Q,34-19.000 N,120-48.410 W,915,6/24/2010,11/15/2010,R
CINMS14-B,25-101008,581,2.02Q,34-16.985 N,120-01.696 W,580,10/8/2010,4/5/2011,R
CINMS15-C,30-101115,580,2.02Q,34-18.997 N,120-48.412 W,850,11/15/2010,4/5/2011,R
CINMS16-B,30-110406,580,2.02S,34-16.991 N,120-01.697 W,580,4/6/2011,10/24/2011,R
CINMS16-C,25-110405,581,2.02S,34-19.007 N,120-48.349 W,850,4/5/2011,10/24/2011,R
CINMS17-B,33-111024,646,2.02S,34-16.970 N,120-01.706 W,580,10/24/2011,3/21/2012,R
CINMS17-C,19-111024,650,2.02S,34-19.007 N,120-48.337 W,825,10/24/2011,3/24/2012,R
CINMS18-B,68-120321,618,2.02S,34-17.126 N,120-01.632 W,580,3/22/2012,8/1/2012,R
CINMS18-C,77-120324,645,2.05A,34-19.500 N,120-48.400 W,758,3/24/2012,8/1/2012,R
CINMS19-B,71-120802,672,2.02S,34-17.156 N,120-01.473 W,900,8/1/2012,NULL,R
CINMS19-C,17-120802,669,2.05A,34-19.384 N,120-48.384 W,800,8/1/2012,12/17/2012,R
CINMS20-B,80-121216,695,2.02S,34-17.131 N,120-01.636 W,900,12/16/2012,5/2/2013,R
CINMS20-C,82-121217,692,2.05A,34-19.020 N,120-48.336 W,800,12/17/2012,5/2/2013,R
CINMS21-B,71-130502,691,2.02S,34-17.112 N,120-01.640 W,580,5/2/2013,9/20/2013,R
CINMS21-C,33-130502,708,2.05A,34-19.013 N,120-48.333 W,814,5/2/2013,9/20/2013,R
CINMS22-B,81-130920,725,2.02S,34-17.115 N,120-01.639 W,535,9/20/2013,1/8/2014,R
CINMS22-C,71-130920,718,2.02S,34-19.013 N,120-48.333 W,823,9/21/2013,1/14/2014,R
CINMS23-B,80-140108,724,2.02S,34-17.098 N,120-01.685 W,573,1/8/2014,4/9/2014,R
CINMS23-C,33-140114,692,2.05A,34-18.973 N,120-48.295 W,828,1/14/2014,4/9/2014,R
CINMS24-B,54-140409,731,2.02S,34-17.099 N,120-01.639 W,580,4/9/2014,7/28/2014,R
CINMS24-C,16-140409,697,2.05A,34-19.452 N,120-48.369 W,754,4/9/2014,7/28/2014,R
CINMS25-B,13-140729,742,2.02S,34-17.143 N,120-01.650 W,NULL,7/29/2014,11/4/2014,R
CINMS25-C,33-140729,697,2.05A,34-19.483 N,120-48.414 W,770,7/29/2014,11/4/2014,R
CINMS26-B,34-141104,683,2.02S,34-17.157 N,120-01.695 W,600,11/4/2014,2/5/2015,R
CINMS26-C,16-141104,762,2.05A,34-19.474 N,120-48.474 W,600,11/4/2014,2/5/2015,R
CINMS27-B,89-150205,714,2.02S,34-17.168 N,120-01.717 W,600,2/5/2015,6/10/2015,R
CINMS27-C,33-150205,697,2.05A,34-19.562 N,120-48.407 W,755,2/5/2015,6/10/2015,R
CINMS28-B,89-150611,736,2.02S,34-17.097 N,120-01.634 W,580,6/11/2015,10/2/2015,R
CINMS28-C,16-150610,762,2.05A,34-19.562 N,120-48.405 W,754,6/10/2015,10/4/2015,R
CINMS29-B,108-151004,780,2.74,34-17.105 N,120-01.666 W,579,10/4/2015,12/16/2015,R
CINMS_B_30_00,101-151216,780,2.74,34-16.532 N,120-01.112 W,585,12/16/2015,7/27/2016,R
